Year,Rep,Site,Date,Microsite,shrub species,ID notes,Schismus barbatus,Crypantha sp.,Lepidium lasiocarpum,Chorizanthe brevicornu,Eriophyllum wallacei,Chylismia caliviformis,Menzelia sp.,Loeseliastrum schotti,Pectocarya,Chorizanthhe rigida,Chylismia brevipes,Rafinesquia neomexicana,Brassica tournefortii,Pectocarya sp.,Linanthus dumosa,Eriogonum,tiny fuzzy white,Chaenactis fremonti,Malacothrix glabrata,Erodium cicutarium,Bromus rubens,Plantago ovata,Ambrosia salsola,Unknown,Euphorbia setiloba,Stylocline
2023,14,Tecopa,2023-04-11,shrub,,,127,10,,,,1,,,,,,,,,,,,,,,,,,,,
2023,14,Tecopa,2023-04-11,open,,,62,10,,,,,,1,1,,,,,,,,,,,1,,,,,,
2023,15,Tecopa,2023-04-11,shrub,,,47,5,,,,,,,,,9,,,,,,,,,,,,,,,
2023,15,Tecopa,2023-04-11,open,,,40,8,,,,,,3,,,,,,2,,,,,,,,,,,,
2023,16,Tecopa,2023-04-11,shrub,,,78,4,,,,,,,,,,,,,,,,,,,,,,,,
2023,16,Tecopa,2023-04-11,open,,,36,8,,,,,,,,,1,,,,,,,,,,,,,,,
2023,17,Tecopa,2023-04-11,shrub,,,89,10,,,,,2,,5,,,,,2,,,,,,,,,,,,
2023,17,Tecopa,2023-04-11,open,,,19,9,,,,,,,,,,,,,,,,,,,,,,,,
2023,18,Tecopa,2023-04-11,shrub,,,78,2,,,,,,,,,,,,,,,,,,,,,,,,
2023,18,Tecopa,2023-04-11,open,,,78,4,,,,1,,,1,,,,,,,,,,,,,,,,,
2023,19,Tecopa,2023-04-11,shrub,,,61,2,,,,,,,,,,,1,,,,,,,,,,,,,
2023,19,Tecopa,2023-04-11,open,,,43,2,,,,,,,,,,,,1,,,,,,,,,,,,
2023,20,Tecopa,2023-04-11,shrub,,,84,,,,,1,,,,,,,1,1,,,,,,,,,,,,
2023,20,Tecopa,2023-04-11,open,,,36,4,,,2,,,,1,,,,,,,,1,,,,,,,,,
2023,21,Tecopa,2023-04-11,shrub,,,60,7,,,,1,,,,,,,,5,,,,,,,,,,,,
2023,21,Tecopa,2023-04-11,open,,,68,7,,,,1,,,,,,,,,,,,,,,,,,,,
2023,22,Tecopa,2023-04-11,shrub,,,77,10,,,,,,,,,,,,,,,,,,,,,,,,
2023,22,Tecopa,2023-04-11,open,,,64,27,,,,,,,,,,,,,,,,,,,,,,,,
2023,23,Tecopa,2023-04-11,shrub,,,57,5,,,,,,1,,,,,,,1,,,,,,,,,,,
2023,23,Tecopa,2023-04-11,open,,,59,11,,,,1,,,,,1,,,,,,,,,,,,,,,
2023,24,Tecopa,2023-04-11,shrub,,,73,3,,,,,,,,,,,,,,,,,,,,,,,,
2023,24,Tecopa,2023-04-11,open,,,49,5,,,,,,,,,,,,1,,,,,,,,,,,,
2023,25,Tecopa,2023-04-11,shrub,,,78,1,,,,,,,,,,,1,,,,,,,,,,,,,
2023,25,Tecopa,2023-04-11,open,,,67,4,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,Tecopa,2023-04-11,shrub,,,57,1,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,Tecopa,2023-04-11,open,,,56,4,,,,10,,,,,,,,1,,,,,,,,,,,,
2023,27,Tecopa,2023-04-11,shrub,,,120,,,,,,,,,,,,2,2,,,,,,,,,,,,
2023,27,Tecopa,2023-04-11,open,,,29,2,,,,,,,,,,,,1,,1,,,,,,,,,,
2023,28,Tecopa,2023-04-11,shrub,,,86,,,,,,,,,,,,,,,,,,,,,,,,,
2023,28,Tecopa,2023-04-11,open,,,63,12,,,,1,,1,,,,,,,,,,,,,,,,,,
2023,29,Tecopa,2023-04-11,shrub,,1 larger,104,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Tecopa,2023-04-11,open,,,31,4,,,,,,,,,,,,3,,,,,,,,,,,,
2023,30,Tecopa,2023-04-11,shrub,,,104,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,Tecopa,2023-04-11,open,,,63,2,,,,1,,1,,,1,,,,,,,,,,,,,,,
2024,1,Tecopa,2024-04-16,shrub,,,47,1,,,,,,,,,,,,,,,,,,,,1,,,,
2024,1,Tecopa,2024-04-16,open,,,32,,,,,,,,5,,,,,,,,,,,,,,,,,
2024,2,Tecopa,2024-04-16,shrub,,,47,1,,,,,,,,,,,,,,,,,,,,1,,1,,
2024,2,Tecopa,2024-04-16,open,,,54,,,,,,,,1,,,,,,,,,,,,,,,,,
2024,3,Tecopa,2024-04-16,shrub,,,68,,,,,,,,,,,,1,,,,,,,,,,,,,
2024,3,Tecopa,2024-04-16,open,,,78,,,,,,,,,,,,,,,,,,,,,,1,,,
2024,4,Tecopa,2024-04-16,shrub,,,66,4,,,,,,,,,,,,,,,,,,,,,,,,
2024,4,Tecopa,2024-04-16,open,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,
2024,5,Tecopa,2024-04-16,shrub,,,37,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,5,Tecopa,2024-04-16,open,,,49,,,,,,,,,,,,,,,,,,,,,,,,,
2024,6,Tecopa,2024-04-16,shrub,,,15,1,,,,1,,,1,,,,,,,,,1,,,,,,,,
2024,6,Tecopa,2024-04-16,open,,,41,2,,,1,,,,,,,,,,,,,,,,,,,,,
2024,7,Tecopa,2024-04-16,shrub,,,35,6,,,,,,1,1,,,,,,,,,,,,,,,,,
2024,7,Tecopa,2024-04-16,open,,,43,,,,1,,,,4,,,,,,,,,,,,,,,,,
2024,8,Tecopa,2024-04-16,shrub,,,25,,,,,,,,1,,,,,,,,,,,,,,,,1,
2024,8,Tecopa,2024-04-16,open,,,20,1,,,,,,,,,,,,,,1,,,,,,,,,1,
2024,9,Tecopa,2024-04-16,shrub,,,16,,,,,,,,1,,,,,,,,,,,,,,,,,
2024,9,Tecopa,2024-04-16,open,,,41,2,,,6,,,2,,,,,1,,,,,,,,,,,,,1
2024,10,Tecopa,2024-04-16,shrub,,,15,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,10,Tecopa,2024-04-16,open,,,32,1,,,1,,,,1,,,,,,,,,,,,,,,,,
2024,11,Tecopa,2024-04-16,shrub,,,76,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,11,Tecopa,2024-04-16,open,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,
2024,12,Tecopa,2024-04-16,shrub,,,11,4,,,,1,1,,3,,,,,,,,,,,,,,,,,
2024,12,Tecopa,2024-04-16,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,13,Tecopa,2024-04-16,shrub,,,40,,,,1,,,,5,,,,,,,,,,,,,,,,,
2024,13,Tecopa,2024-04-16,open,,,32,4,,,,,,1,,,,,,,,,,,,,,,,,,
2024,14,Tecopa,2024-04-16,shrub,,,22,,,,,1,,,3,,,,,,,,,,,,,,,,,
2024,14,Tecopa,2024-04-16,open,,,21,2,,,,,,,1,,,,,,,,,,,,,,,,,
2024,15,Tecopa,2024-04-16,shrub,,,72,4,,,,,,,3,,,,,,,,,,,,,,,,,
2024,15,Tecopa,2024-04-16,open,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,
2024,16,Tecopa,2024-04-16,shrub,,,22,14,,,,,,,,,,,,,,,,,,,,,,,,
2024,16,Tecopa,2024-04-16,open,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,17,Tecopa,2024-04-16,shrub,,,36,1,,,,,,,,,,,,,,,,1,,,,,,,,
2024,17,Tecopa,2024-04-16,open,,,82,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,18,Tecopa,2024-04-16,shrub,,,37,,,,,,,,,,,,3,,,,,,,,,,,,,
2024,18,Tecopa,2024-04-16,open,,,66,6,,,,1,,1,,,,,,,,,,,,,,,,,,
2024,19,Tecopa,2024-04-16,shrub,,,42,3,,,,,,,,,,,,,,,,,,,,,,,,
2024,19,Tecopa,2024-04-16,open,,,33,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,20,Tecopa,2024-04-16,shrub,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,20,Tecopa,2024-04-16,open,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
2024,21,Tecopa,2024-04-16,shrub,,,48,8,,,,,,,,,,,2,,,,,,,,,,,,,
2024,21,Tecopa,2024-04-16,open,,,34,4,,,,,,,,,,,,,,,,,,,,,,,,
2024,22,Tecopa,2024-04-16,shrub,,,54,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,22,Tecopa,2024-04-16,open,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,23,Tecopa,2024-04-16,shrub,,,37,,,,,,,,,,,,,,,,,,,,,,,,,
2024,23,Tecopa,2024-04-16,open,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,Tecopa,2024-04-16,shrub,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,Tecopa,2024-04-16,open,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
2024,25,Tecopa,2024-04-16,shrub,,,23,,,,,,,,4,,,,,,,,,,,,,,,,,
2024,25,Tecopa,2024-04-16,open,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,Tecopa,2024-04-16,shrub,,,24,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,Tecopa,2024-04-16,open,,,36,,,,,,,,1,,,,,,,,,,,,,,,,,
2024,27,Tecopa,2024-04-16,shrub,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,Tecopa,2024-04-16,open,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28,Tecopa,2024-04-16,shrub,,,34,1,,,,,,,1,,,,,,,,,,,,,,,,,
2024,28,Tecopa,2024-04-16,open,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
2024,29,Tecopa,2024-04-16,shrub,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
2024,29,Tecopa,2024-04-16,open,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30,Tecopa,2024-04-16,shrub,,,61,,,,,,,,1,,,,,,,,,,,,,,,,,
2024,30,Tecopa,2024-04-16,open,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,Tecopa,2024-04-16,shrub,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,Tecopa,2024-04-16,open,,,70,,,,,,,,,,,,,,,,,,,,,,,,,
2024,32,Tecopa,2024-04-16,shrub,,,53,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,32,Tecopa,2024-04-16,open,,,82,,,,,,,,,,,,,,,,,,,,,,,,,
2024,33,Tecopa,2024-04-16,shrub,,,56,1,,,,,,,2,,,,,,,,,,,,,,,,,
2024,33,Tecopa,2024-04-16,open,,,72,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,Tecopa,2024-04-16,shrub,,,108,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,Tecopa,2024-04-16,open,,,64,9,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,Tecopa,2024-04-16,shrub,,,90,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,Tecopa,2024-04-16,open,,,70,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,36,Tecopa,2024-04-16,shrub,,,106,,,,,,,,,,,,,,,,,,,,,,,,,
2024,36,Tecopa,2024-04-16,open,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2024,37,Tecopa,2024-04-16,shrub,,,64,1,,,,,,,1,,,,,,,,,,,,,,,,,
2024,37,Tecopa,2024-04-16,open,,,44,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,38,Tecopa,2024-04-16,shrub,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
2024,38,Tecopa,2024-04-16,open,,,38,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,39,Tecopa,2024-04-16,shrub,,,44,2,,,,,,,,,,,,,,,,,,,,,,,,
2024,39,Tecopa,2024-04-16,open,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
2024,40,Tecopa,2024-04-16,shrub,,,98,1,,,,,,,,,,,,,,,,,,,,,,,,
2024,40,Tecopa,2024-04-16,open,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
