,Year NA,Rep NA,Site ,Date ,Microsite ,ID.notes NA,species,abun
897,2024,24,Cuyama 1,2024-05-01,open,NA,Astragalus.didymocarpus,1
1200,2024,19,Cuyama 2,2024-04-30,open,NA,Astragalus.lentigonsus,1
2375,2023,9,Yucca,2023-04-17,shrub,NA,Astragalus.nuttallianus,1
2486,2024,2,Yucca,2024-04-21,shrub,NA,Astragalus.nuttallianus,1
2499,2024,4,Yucca,2024-04-21,shrub,NA,Astragalus.nuttallianus,1
2560,2024,12,Yucca,2024-04-21,open,NA,Astragalus.nuttallianus,1
2668,2024,30,Yucca,2024-04-21,shrub,NA,Astragalus.nuttallianus,1
2717,2024,37,Yucca,2024-04-21,open,NA,Astragalus.nuttallianus,1
40,2023,10,Barstow,2023-04-15,shrub,NA,Brassica.tournefortii,1
61,2023,14,Barstow,2023-04-15,shrub,NA,Brassica.tournefortii,1
233,2024,22,Barstow,2024-04-15,shrub,NA,Brassica.tournefortii,1
1970,2023,2,Tecopa,2023-04-11,shrub,,Brassica.tournefortii,1
2053,2023,13,Tecopa,2023-04-11,shrub,4 grasses were larger,Brassica.tournefortii,2
2091,2023,19,Tecopa,2023-04-11,shrub,,Brassica.tournefortii,1
2097,2023,20,Tecopa,2023-04-11,shrub,,Brassica.tournefortii,1
2130,2023,25,Tecopa,2023-04-11,shrub,,Brassica.tournefortii,1
2140,2023,27,Tecopa,2023-04-11,shrub,,Brassica.tournefortii,2
2173,2024,3,Tecopa,2024-04-16,shrub,,Brassica.tournefortii,1
2211,2024,9,Tecopa,2024-04-16,open,,Brassica.tournefortii,1
2256,2024,18,Tecopa,2024-04-16,shrub,,Brassica.tournefortii,3
2270,2024,21,Tecopa,2024-04-16,shrub,,Brassica.tournefortii,2
2334,2023,1,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2355,2023,5,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,2
2366,2023,7,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,18
2372,2023,9,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2383,2023,10,Yucca,2023-04-17,open,NA,Brassica.tournefortii,2
2392,2023,12,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,2
2408,2023,14,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2414,2023,15,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2431,2023,19,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,2
2436,2023,20,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2449,2023,24,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,2
2459,2023,26,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,1
2470,2023,28,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,3
2476,2023,30,Yucca,2023-04-17,shrub,NA,Brassica.tournefortii,4
2537,2024,10,Yucca,2024-04-21,shrub,NA,Brassica.tournefortii,3
1055,2024,4,Cuyama 2,2024-04-30,open,NA,Eremothera.boothi,2
1063,2024,5,Cuyama 2,2024-04-30,shrub,NA,Eremothera.boothi,1
1072,2024,5,Cuyama 2,2024-04-30,open,NA,Eremothera.boothi,2
1293,2024,29,Cuyama 2,2024-04-30,open,NA,Eremothera.boothi,1
1321,2024,32,Cuyama 2,2024-04-30,open,NA,Eremothera.boothi,5
354,2023,8,Cuyama 1,2023-04-28,open,NA,Bromus.diandrus,1
394,2023,15,Cuyama 1,2023-04-28,open,NA,Bromus.diandrus,11
409,2023,18,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,25
410,2023,18,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,1
420,2023,19,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,11
425,2023,20,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,18
436,2023,21,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,1
454,2023,23,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,12
461,2023,24,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,24
470,2023,25,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,11
486,2023,27,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,9
493,2023,28,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,26
507,2023,30,Cuyama 1,2023-04-28,shrub,NA,Bromus.diandrus,15
740,2024,3,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,4
868,2024,20,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,43
878,2024,22,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,3
885,2024,23,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,27
903,2024,25,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,3
908,2024,26,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,1
914,2024,26,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,46
921,2024,27,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,4
928,2024,28,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,3
937,2024,29,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,7
943,2024,30,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,18
947,2024,31,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,4
952,2024,31,Cuyama 1,2024-05-01,open,NA,Bromus.diandrus,34
963,2024,33,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,6
978,2024,35,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,41
998,2024,38,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,38
1006,2024,39,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,13
1011,2024,40,Cuyama 1,2024-05-01,shrub,NA,Bromus.diandrus,28
518,2023,2,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,1
537,2023,5,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,1
576,2023,12,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,6
580,2023,12,Cuyama 2,2023-04-28,open,NA,Bromus.diandrus,2
590,2023,14,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,3
607,2023,16,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,1
687,2023,26,Cuyama 2,2023-04-28,shrub,NA,Bromus.diandrus,7
1028,2024,1,Cuyama 2,2024-04-30,open,NA,Bromus.diandrus,2
1068,2024,5,Cuyama 2,2024-04-30,shrub,NA,Bromus.diandrus,1
1092,2024,7,Cuyama 2,2024-04-30,shrub,NA,Bromus.diandrus,7
1213,2024,21,Cuyama 2,2024-04-30,shrub,NA,Bromus.diandrus,19
1319,2024,32,Cuyama 2,2024-04-30,shrub,NA,Bromus.diandrus,4
1356,2024,35,Cuyama 2,2024-04-30,shrub,NA,Bromus.diandrus,1
311,2023,1,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,0
314,2023,1,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,1
316,2023,2,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,43
319,2023,2,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,8
321,2023,3,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,11
324,2023,3,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,26
327,2023,4,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,55
330,2023,4,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,2
332,2023,5,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,63
335,2023,5,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,1
337,2023,6,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,46
340,2023,6,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,2
342,2023,7,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,19
345,2023,7,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,3
348,2023,8,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,76
355,2023,9,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,58
359,2023,9,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,2
363,2023,10,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,39
368,2023,10,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,1
371,2023,11,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,35
375,2023,12,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,29
380,2023,13,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,19
385,2023,14,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,45
390,2023,15,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,6
395,2023,16,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,13
398,2023,16,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,2
402,2023,17,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,4
413,2023,18,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,8
418,2023,19,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,3
429,2023,20,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,5
433,2023,21,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,16
440,2023,21,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,1
445,2023,22,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,20
453,2023,23,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,3
464,2023,24,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,12
469,2023,25,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,20
472,2023,25,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,1
477,2023,26,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,8
484,2023,27,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,14
496,2023,28,Cuyama 1,2023-04-28,open,NA,Bromus.rubens,7
506,2023,30,Cuyama 1,2023-04-28,shrub,NA,Bromus.rubens,18
728,2024,1,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,25
730,2024,1,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,46
732,2024,2,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,78
735,2024,2,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,9
739,2024,3,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,67
743,2024,3,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,9
747,2024,4,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,98
750,2024,4,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,17
752,2024,5,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,33
755,2024,5,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,8
759,2024,6,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,38
766,2024,6,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,10
770,2024,7,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,24
774,2024,7,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,41
777,2024,8,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,88
779,2024,8,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,21
783,2024,9,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,50
787,2024,9,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,37
790,2024,10,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,37
793,2024,10,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,5
796,2024,11,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,32
803,2024,12,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,66
809,2024,13,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,31
813,2024,13,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,8
817,2024,14,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,60
824,2024,15,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,46
828,2024,15,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,2
832,2024,16,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,56
836,2024,16,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,2
840,2024,17,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,26
844,2024,17,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,4
847,2024,18,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,41
856,2024,19,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,27
863,2024,20,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,12
866,2024,20,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,2
870,2024,21,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,17
877,2024,22,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,21
880,2024,22,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,34
895,2024,24,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,5
898,2024,25,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,8
901,2024,25,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,4
906,2024,26,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,7
911,2024,26,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,2
917,2024,27,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,18
919,2024,27,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,3
923,2024,28,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,50
926,2024,28,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,1
929,2024,29,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,14
934,2024,29,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,9
941,2024,30,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,3
945,2024,31,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,6
950,2024,31,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,7
954,2024,32,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,4
957,2024,32,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,3
961,2024,33,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,8
965,2024,33,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,1
970,2024,34,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,15
974,2024,34,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,6
979,2024,35,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,5
983,2024,36,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,23
987,2024,36,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,1
992,2024,37,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,28
1000,2024,38,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,9
1002,2024,39,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,4
1008,2024,39,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,35
1010,2024,40,Cuyama 1,2024-05-01,shrub,NA,Bromus.rubens,26
1014,2024,40,Cuyama 1,2024-05-01,open,NA,Bromus.rubens,48
512,2023,1,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,22
516,2023,2,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,28
524,2023,3,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,20
528,2023,3,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,1
530,2023,4,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,55
536,2023,5,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,36
541,2023,6,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,68
548,2023,7,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,126
553,2023,8,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,43
557,2023,9,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,51
563,2023,10,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,39
569,2023,11,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,108
574,2023,12,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,112
583,2023,13,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,26
589,2023,14,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,12
597,2023,15,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,35
606,2023,16,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,26
612,2023,16,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,1
615,2023,17,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,24
622,2023,18,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,10
629,2023,19,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,39
632,2023,19,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,1
635,2023,20,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,39
640,2023,20,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,1
644,2023,21,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,44
648,2023,21,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,1
655,2023,22,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,28
661,2023,23,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,36
667,2023,24,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,39
676,2023,25,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,42
684,2023,26,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,17
694,2023,27,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,27
699,2023,27,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,3
708,2023,28,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,19
716,2023,29,Cuyama 2,2023-04-28,open,NA,Bromus.rubens,3
720,2023,30,Cuyama 2,2023-04-28,shrub,NA,Bromus.rubens,1
1019,2024,1,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,64
1025,2024,1,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,28
1032,2024,2,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,104
1037,2024,2,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,17
1042,2024,3,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,54
1048,2024,3,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,15
1053,2024,4,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,15
1059,2024,4,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,8
1066,2024,5,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,42
1075,2024,5,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,3
1101,2024,6,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,45
1090,2024,7,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,9
1096,2024,7,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1079,2024,8,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,108
1085,2024,8,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1109,2024,9,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,51
1116,2024,10,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,21
1124,2024,11,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,5
1131,2024,12,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,52
1135,2024,12,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,10
1141,2024,13,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,17
1147,2024,13,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,10
1151,2024,14,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,70
1156,2024,14,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,15
1159,2024,15,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,40
1166,2024,16,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,164
1172,2024,16,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,17
1176,2024,17,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,90
1180,2024,17,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,1
1183,2024,18,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,31
1188,2024,18,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,9
1193,2024,19,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,54
1202,2024,20,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,104
1207,2024,20,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,7
1211,2024,21,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,6
1216,2024,21,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1220,2024,22,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,11
1230,2024,23,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,63
1237,2024,24,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,70
1248,2024,25,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,4
1254,2024,25,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1258,2024,26,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,3
1268,2024,27,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,47
1274,2024,27,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,22
1278,2024,28,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,33
1284,2024,28,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1288,2024,29,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,48
1297,2024,29,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,30
1300,2024,30,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,2
1310,2024,31,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,39
1324,2024,32,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,5
1328,2024,33,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,40
1335,2024,33,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,1
1338,2024,34,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,61
1343,2024,34,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,3
1354,2024,35,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,55
1347,2024,36,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,25
1362,2024,37,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,36
1369,2024,37,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1372,2024,38,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,68
1378,2024,38,Cuyama 2,2024-04-30,open,NA,Bromus.rubens,2
1380,2024,39,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,56
1386,2024,40,Cuyama 2,2024-04-30,shrub,NA,Bromus.rubens,70
2336,2023,1,Yucca,2023-04-17,shrub,NA,Bromus.rubens,4
2343,2023,2,Yucca,2023-04-17,open,NA,Bromus.rubens,12
2346,2023,3,Yucca,2023-04-17,shrub,NA,Bromus.rubens,12
2350,2023,3,Yucca,2023-04-17,open,NA,Bromus.rubens,14
2353,2023,4,Yucca,2023-04-17,shrub,NA,Bromus.rubens,10
2356,2023,5,Yucca,2023-04-17,shrub,NA,Bromus.rubens,51
2360,2023,6,Yucca,2023-04-17,shrub,NA,Bromus.rubens,5
2364,2023,6,Yucca,2023-04-17,open,NA,Bromus.rubens,2
2368,2023,7,Yucca,2023-04-17,shrub,NA,Bromus.rubens,21
2371,2023,8,Yucca,2023-04-17,shrub,NA,Bromus.rubens,15
2374,2023,9,Yucca,2023-04-17,shrub,NA,Bromus.rubens,12
2378,2023,9,Yucca,2023-04-17,open,NA,Bromus.rubens,6
