"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
114,04/23/24 12:22:31  AM,12.304,0.0,,
115,04/23/24 12:52:31  AM,12.207,0.0,,
116,04/23/24 01:22:31  AM,12.980,0.0,,
117,04/23/24 01:52:31  AM,12.690,0.0,,
118,04/23/24 02:22:31  AM,12.110,0.0,,
119,04/23/24 02:52:31  AM,10.846,0.0,,
120,04/23/24 03:22:31  AM,9.866,0.0,,
121,04/23/24 03:52:31  AM,9.669,0.0,,
122,04/23/24 04:22:31  AM,10.651,0.0,,
123,04/23/24 04:52:31  AM,11.819,0.0,,
124,04/23/24 05:22:31  AM,11.819,0.0,,
125,04/23/24 05:52:31  AM,12.110,290.6,,
126,04/23/24 06:22:31  AM,11.722,2325.0,,
127,04/23/24 06:52:31  AM,13.076,4305.6,,
128,04/23/24 07:22:31  AM,15.091,6544.5,,
129,04/23/24 07:52:31  AM,19.948,16533.4,,
130,04/23/24 08:22:31  AM,25.805,24800.2,,
131,04/23/24 08:52:31  AM,25.902,21355.7,,
132,04/23/24 09:22:31  AM,28.754,22044.6,,
133,04/23/24 09:52:31  AM,29.452,22044.6,,
134,04/23/24 10:22:31  AM,28.655,20666.8,,
135,04/23/24 10:52:31  AM,28.159,19289.0,,
136,04/23/24 11:22:31  AM,28.953,16533.4,,
137,04/23/24 11:52:31  AM,28.754,28933.5,,
138,04/23/24 12:22:31  PM,29.452,60622.6,,Logged
