Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
88,Cuyama,Central Coast Valleys,Oct 2024,,N,0.00, ,189, ,0.8, ,30.1,K,7.8,K,18.1,K,60, ,20, ,38,K,2.7,K,2.1, ,22.7, 
88,Cuyama,Central Coast Valleys,Nov 2024,,N,14.60, ,126, ,0.6,K,18.7, ,-0.1,K,8.7, ,80, ,34, ,57,K,-0.4,K,2.0, ,13.8,L
88,Cuyama,Central Coast Valleys,Dec 2024,,N,3.60, ,108, ,0.6, ,19.2, ,0.4, ,8.7, ,81, ,32, ,57, ,-0.1, ,2.1,K,11.3,L
88,Cuyama,Central Coast Valleys,Jan 2025,,N,4.80, ,133, ,0.5,K,17.4, ,-3.7,K,5.9, ,72, ,26, ,49,K,-4.9,K,2.3,K,8.5,K
88,Cuyama,Central Coast Valleys,Feb 2025,,N,22.50, ,161, ,0.7, ,19.4,K,1.8,K,10.3,K,85, ,35, ,59,K,2.2,K,2.5,K,11.6,L
88,Cuyama,Central Coast Valleys,Mar 2025,,N,41.20, ,199, ,0.8, ,18.5,K,2.6, ,9.8,K,89, ,37, ,64,K,3.1,K,2.5, ,13.6,L
88,Cuyama,Central Coast Valleys,Apr 2025,,N,3.80, ,261, ,0.8, ,23.1, ,4.6, ,13.3, ,86, ,31, ,56, ,4.3, ,2.4, ,17.5,L
88,Cuyama,Central Coast Valleys,May 2025,,N,0.00, ,326,K,0.9, ,29.0,K,7.8, ,18.3,K,73, ,22, ,42,K,4.8,K,2.5, ,22.9, 
88,Cuyama,Central Coast Valleys,Jun 2025,,N,0.00, ,357,K,0.9, ,34.1, ,11.5, ,23.0, ,59, ,16, ,32, ,5.1, ,2.6,K,28.8, 
221,Cadiz Valley,San Bernardino,Sep 2022,197.37, ,0.90, ,242,K,1.5, ,40.9,L,25.9,K,33.4,K,45, ,18, ,29,K,12.2,K,2.3, ,32.9,L
221,Cadiz Valley,San Bernardino,Oct 2022,152.29, ,2.20,K,206,K,1.0,K,34.4, ,18.2,K,26.0, ,44, ,17, ,27,L,4.8,L,2.1,K,25.1,L
221,Cadiz Valley,San Bernardino,Nov 2022,96.28, ,1.50,K,157,K,0.4,K,21.6, ,5.5,K,13.8, ,41, ,15, ,25,K,-6.5,K,2.5,K,17.9,K
221,Cadiz Valley,San Bernardino,Dec 2022,60.31, ,2.80, ,119, ,0.6,K,18.2,K,3.7,K,10.9,K,60, ,28, ,42,K,-2.2,K,1.8, ,14.1,L
221,Cadiz Valley,San Bernardino,Jan 2023,74.74, ,8.10,K,130,K,0.6,K,17.6, ,4.6,K,11.3,K,65,K,28,K,44, ,-1.2, ,2.7,K,12.9,K
221,Cadiz Valley,San Bernardino,Feb 2023,107.23, ,2.40, ,185,K,0.4, ,20.0, ,4.7, ,12.5, ,45, ,17, ,28, ,-6.5, ,3.1,K,14.1, 
221,Cadiz Valley,San Bernardino,Mar 2023,149.72,K,8.60,K,218,K,0.7,K,23.3,K,9.2,K,16.3, ,58, ,20, ,34,L,-0.7,L,3.2,K,16.6, 
221,Cadiz Valley,San Bernardino,Apr 2023,229.20, ,0.20, ,320,K,0.5, ,34.6,K,15.5,K,24.9, ,30, ,9, ,17, ,-2.5, ,3.0,K,22.9,L
221,Cadiz Valley,San Bernardino,May 2023,265.94, ,2.00, ,343,K,0.8,K,37.1, ,20.2,K,28.6, ,40, ,11, ,21,L,3.7,L,2.9, ,29.8,L
221,Cadiz Valley,San Bernardino,Jun 2023,267.76, ,0.00, ,359,K,0.9,K,41.3,K,21.9,K,31.5, ,34, ,10, ,19,K,4.2,K,2.7, ,33.4,L
221,Cadiz Valley,San Bernardino,Jul 2023,291.40,K,0.00, ,336,K,1.1, ,47.6,L,29.6,K,39.1,K,25,K,9,K,15,K,7.0,K,2.5, ,38.0,L
221,Cadiz Valley,San Bernardino,Aug 2023,247.91,K,36.20, ,293,K,1.4,K,44.0,L,27.4,K,35.9,L,44,K,15,K,22,L,9.9,L,2.5,K,36.2,L
221,Cadiz Valley,San Bernardino,Sep 2023,207.71,K,1.40, ,253,K,1.3,K,43.6,L,23.7, ,32.0,K,42,K,17,K,28,K,10.3,K,2.8,K,31.6,K
221,Cadiz Valley,San Bernardino,Oct 2023,160.61,K,0.00, ,207,K,0.7, ,36.3,K,16.8,K,25.9,K,34, ,13, ,22,K,1.5,K,2.3,K,26.3,K
221,Cadiz Valley,San Bernardino,Nov 2023,98.32, ,2.60, ,147, ,0.5,K,25.7, ,8.8, ,16.7, ,42, ,17, ,23,L,-5.8,L,2.1,K,18.8,K
221,Cadiz Valley,San Bernardino,Dec 2023,71.96, ,0.20, ,117, ,0.5,K,20.6, ,5.7,K,12.7, ,49, ,21, ,34,K,-3.5,K,2.0, ,15.1,K
221,Cadiz Valley,San Bernardino,Jan 2024,70.74, ,15.90, ,118, ,0.7,K,18.4, ,5.6, ,11.8, ,64, ,29, ,45,K,-0.7,K,2.3,K,13.4,K
221,Cadiz Valley,San Bernardino,Feb 2024,86.90, ,15.50, ,149, ,0.8,K,21.0, ,9.1,K,14.8, ,71, ,29, ,47,K,3.1,K,2.3, ,14.4, 
221,Cadiz Valley,San Bernardino,Mar 2024,153.45,K,18.20, ,216, ,0.8,K,26.2,K,11.3, ,18.5,K,61, ,23, ,38,L,3.0,L,3.0,K,18.4, 
221,Cadiz Valley,San Bernardino,Apr 2024,215.40, ,0.60, ,296,K,0.8,K,35.9,K,14.6,K,24.4, ,44, ,13, ,24,L,2.6,L,2.9,K,23.1,K
221,Cadiz Valley,San Bernardino,May 2024,268.87, ,0.00,K,335,K,0.8,K,41.9,K,19.5, ,29.9,K,32,K,10,K,18, ,2.7, ,2.8,K,30.2,L
221,Cadiz Valley,San Bernardino,Jun 2024,287.48,K,0.00, ,346,K,1.1,K,47.6,L,26.8,K,36.8,K,30, ,9, ,16,L,6.8,L,2.7,K,35.8,L
221,Cadiz Valley,San Bernardino,Jul 2024,288.04,K,0.20, ,317, ,1.2, ,49.6,L,30.9,K,40.1,K,29,K,9,K,16,K,8.9,K,2.6, ,39.9,L
221,Cadiz Valley,San Bernardino,Aug 2024,261.04,K,5.10, ,289,K,1.4,K,47.2,L,28.4, ,37.0,K,38,K,13,K,22,K,11.2,K,2.7,K,38.7,K
221,Cadiz Valley,San Bernardino,Sep 2024,216.72,K,0.30,K,253,K,1.0,K,45.4,L,24.7,K,33.7,K,31,K,12,K,20,K,6.6,K,2.3,K,35.1,K
221,Cadiz Valley,San Bernardino,Oct 2024,168.42,K,0.00, ,199, ,0.7, ,38.0,L,19.8,K,28.5,K,27,K,11,K,18,K,1.2,K,2.2,K,28.3,L
221,Cadiz Valley,San Bernardino,Nov 2024,98.85, ,0.00, ,147, ,0.4, ,22.5, ,6.8, ,14.7, ,35, ,13, ,22, ,-7.5, ,2.3, ,18.8,K
221,Cadiz Valley,San Bernardino,Dec 2024,76.26,K,0.00,K,123,K,0.4,K,22.0,K,5.6, ,13.1,K,35,K,15,K,24, ,-7.7, ,1.9,K,15.4,K
221,Cadiz Valley,San Bernardino,Jan 2025,93.20, ,11.20, ,139, ,0.3, ,18.9,K,3.3,K,11.2, ,38, ,15, ,25, ,-10.1, ,2.6,K,13.3,K
221,Cadiz Valley,San Bernardino,Feb 2025,109.56, ,5.40, ,172, ,0.6, ,24.6,K,9.5,K,17.1, ,52, ,17, ,30, ,-1.9, ,2.4,K,16.0,K
221,Cadiz Valley,San Bernardino,Mar 2025,168.67,K,6.70, ,223, ,0.7,K,27.8,L,11.5,K,19.7,K,49, ,18, ,29,K,0.4,K,3.1,K,19.3,K
221,Cadiz Valley,San Bernardino,Apr 2025,211.44, ,0.00, ,295,K,0.6, ,34.9,K,13.5,K,23.8,K,35, ,12, ,21,K,-0.7,K,2.9,K,24.9,K
221,Cadiz Valley,San Bernardino,May 2025,253.24, ,14.60, ,314,K,0.9,K,41.6,K,20.1, ,29.3, ,41, ,14, ,19,L,3.8,L,2.9,K,29.5,K
221,Cadiz Valley,San Bernardino,Jun 2025,149.63,L,9.50, ,341,K,1.0,K,46.3,L,24.5, ,34.8,K,34,K,10,K,15,L,4.4,L,2.7,K,34.5,L
233,Joshua Tree,San Bernardino,Sep 2022,,N,23.40, ,239,K,1.4,K,36.6,L,19.8,K,28.6,K,62,K,19,K,35,K,10.9,K,1.7, ,17.3,L
233,Joshua Tree,San Bernardino,Oct 2022,,N,0.70, ,207,K,1.0,K,33.4,K,13.3,K,22.4, ,59, ,19, ,33,L,4.6,L,1.6,K,12.7,L
233,Joshua Tree,San Bernardino,Nov 2022,,N,3.10, ,164,K,0.4,K,18.7,K,1.6, ,10.0, ,53, ,17, ,31,K,-7.0,K,1.7,K,8.8,L
233,Joshua Tree,San Bernardino,Dec 2022,,N,3.10,K,122, ,0.6, ,17.0,K,-0.1, ,8.0, ,78, ,29, ,51, ,-2.0, ,1.3,K,2.8,L
233,Joshua Tree,San Bernardino,Jan 2023,,N,12.20,K,132,K,0.6,K,15.5, ,1.8,K,8.4,K,75,K,32,K,50, ,-2.0, ,2.0,K,2.5,L
233,Joshua Tree,San Bernardino,Feb 2023,,N,5.30,K,189,K,0.4, ,17.9, ,1.8,K,9.5, ,60, ,21, ,37, ,-5.4, ,2.4,K,10.0,L
233,Joshua Tree,San Bernardino,Mar 2023,,N,20.40,K,230,K,0.7,K,21.4,K,5.3,K,13.1, ,76, ,25, ,46,K,1.3,K,2.6,K,11.7, 
233,Joshua Tree,San Bernardino,Apr 2023,,N,0.00, ,311,K,0.6, ,29.7,L,9.5,K,20.5, ,50, ,10, ,24, ,-1.2, ,2.0, ,16.3,K
233,Joshua Tree,San Bernardino,May 2023,,N,25.80, ,337,K,0.8,K,33.3,K,13.7,K,23.9, ,55, ,13, ,26,L,2.2,L,2.2, ,21.7,K
233,Joshua Tree,San Bernardino,Jun 2023,,N,1.00, ,349,K,0.8,K,37.2,L,16.8,K,27.0, ,46, ,11, ,22,L,2.7,L,2.2,K,24.3,K
233,Joshua Tree,San Bernardino,Jul 2023,,N,0.00, ,331,K,0.9, ,42.8,K,23.5,K,34.0,K,32, ,10, ,17,K,5.0,K,2.1, ,28.0,L
233,Joshua Tree,San Bernardino,Aug 2023,,N,52.70, ,286,K,1.3,K,42.0,L,22.9, ,31.6,K,55,K,18,K,31,K,10.1,K,2.0,K,26.0,L
233,Joshua Tree,San Bernardino,Sep 2023,,N,0.40, ,254,K,1.1, ,37.0,K,16.2, ,25.6, ,59, ,16, ,32, ,7.3, ,1.7,K,25.1,K
233,Joshua Tree,San Bernardino,Oct 2023,,N,0.00, ,216,K,0.7, ,31.9,L,9.7,K,20.0, ,48, ,14, ,27, ,-0.1, ,1.4, ,21.3, 
233,Joshua Tree,San Bernardino,Nov 2023,,N,11.50, ,161,K,0.4,K,19.9, ,2.6, ,10.9, ,56, ,19, ,32,L,-7.0,L,1.4,K,15.1,K
233,Joshua Tree,San Bernardino,Dec 2023,,N,18.60, ,122, ,0.5,K,18.0, ,1.4,K,8.8, ,70, ,27, ,46,L,-3.0,L,1.0, ,10.9,K
233,Joshua Tree,San Bernardino,Jan 2024,,N,16.10, ,131, ,0.6,K,16.0, ,1.4, ,8.5, ,78, ,31, ,52,K,-1.3,K,1.6,K,9.1, 
233,Joshua Tree,San Bernardino,Feb 2024,,N,7.10, ,170,K,0.7,K,17.1, ,3.1, ,10.1, ,79, ,33, ,51,L,0.2,L,1.7,K,10.5, 
233,Joshua Tree,San Bernardino,Mar 2024,,N,15.70,K,223, ,0.6, ,19.8,K,4.2, ,12.3,K,72, ,26, ,44,K,0.0,K,2.3,K,12.7, 
233,Joshua Tree,San Bernardino,Apr 2024,,N,0.40, ,310,K,0.6, ,26.7,K,7.1,K,17.6,K,55, ,14, ,29,K,-1.2,K,2.1,K,16.6, 
233,Joshua Tree,San Bernardino,May 2024,,N,0.10,K,341,K,0.6,K,32.2, ,11.2, ,22.9,K,40,K,11,K,21, ,-1.1, ,2.0,K,22.8,K
233,Joshua Tree,San Bernardino,Jun 2024,,N,0.00, ,351,K,0.8,K,39.6, ,18.9, ,30.5, ,34, ,11, ,18,K,3.5,K,2.0, ,28.4,L
233,Joshua Tree,San Bernardino,Jul 2024,,N,6.70, ,321, ,1.0, ,43.1,K,23.1,K,34.3,K,32, ,11, ,18,K,5.8,K,1.9, ,31.0,L
233,Joshua Tree,San Bernardino,Aug 2024,,N,0.00, ,296,K,1.0, ,39.7, ,21.6, ,31.5,K,37, ,13, ,22,K,6.4,K,2.1, ,,M
233,Joshua Tree,San Bernardino,Sep 2024,,N,7.00,K,257,K,0.8,K,37.1,K,17.1, ,27.6,K,41,K,13,K,23,K,3.4,K,1.7,K,26.6,L
233,Joshua Tree,San Bernardino,Oct 2024,,N,0.00,K,209,K,0.5,K,32.3, ,12.6, ,22.5,K,36,K,12,K,21, ,-1.8, ,1.4,K,23.4,K
233,Joshua Tree,San Bernardino,Nov 2024,,N,0.10, ,153, ,0.4, ,19.6, ,2.3,K,10.9,K,49, ,17, ,30,K,-6.9,K,1.4, ,15.7,K
233,Joshua Tree,San Bernardino,Dec 2024,,N,0.00,K,131,K,0.4,K,20.7,K,1.8, ,10.5,K,46,K,17,K,29,K,-7.4,K,1.1,K,12.8,K
233,Joshua Tree,San Bernardino,Jan 2025,,N,12.20, ,142, ,0.3,K,16.0,K,-0.9,K,7.5,K,48,K,18,K,31,K,-10.2,K,1.6,K,10.4,K
233,Joshua Tree,San Bernardino,Feb 2025,,N,12.50, ,191,K,0.6,K,21.6, ,5.3,K,13.5,K,59, ,20, ,36,K,-2.3,K,1.7,K,11.7, 
233,Joshua Tree,San Bernardino,Mar 2025,,N,3.80,K,237,K,0.6, ,22.3, ,5.3, ,14.0, ,62, ,20, ,36, ,-1.5, ,2.1,K,13.6, 
233,Joshua Tree,San Bernardino,Apr 2025,,N,0.00, ,301,K,0.5, ,27.0,K,7.6,K,18.1,K,47, ,13, ,25,K,-2.9,K,1.9,K,18.9,K
233,Joshua Tree,San Bernardino,May 2025,,N,8.30, ,320,K,0.7,K,31.9, ,13.1,K,23.6, ,47, ,14, ,23,L,0.9,L,2.2, ,23.0,K
233,Joshua Tree,San Bernardino,Jun 2025,,N,0.80, ,345,K,0.8,K,38.2, ,17.9,K,29.3, ,34, ,11, ,18,L,1.7,L,2.1, ,29.0,K
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
